Device,Max Clients,Unique Clients,Building
Art 223,4,15,Art
Art 366,0,4,Art
Art 112,0,0,Art
Art 328,0,9,Art
Art 301,1,4,Art
Art 201 Hallway,1,9,Art
Art 306,1,4,Art
Art 125 Tempo,2,6,Art
Art 335,0,0,Art
Art 373,4,42,Art
Art 213,1,1,Art
Art 141,1,9,Art
Art 357,0,2,Art
Art 336,1,2,Art
Art 360,2,5,Art
Webster 203 Makai,0,0,Webster Hall
Webster 115,3,4,Webster Hall
Edmondson 301 Center,3,6,Edmondson Hall
Edmondson 401 Mauka,2,3,Edmondson Hall
Webster 101 Mauka,7,8,Webster Hall
Webster 446 Hallway,3,4,Webster Hall
Webster 114,0,4,Webster Hall
Webster 116,1,5,Webster Hall
Edmondson 411,3,4,Edmondson Hall
Webster 203 Ewa,0,0,Webster Hall
Webster 103 Hallway,1,3,Webster Hall
Edmondson 418,1,2,Edmondson Hall
Edmondson 203,6,8,Edmondson Hall
Webster 102,0,0,Webster Hall
Webster 112,2,5,Webster Hall
Edmondson 313,5,11,Edmondson Hall
Edmondson 401 Makai,0,0,Edmondson Hall
Edmondson 216,2,4,Edmondson Hall
Edmondson 201,1,3,Edmondson Hall
Webster 407 Hallway,1,1,Webster Hall
Edmondson 414,1,1,Edmondson Hall
Webster 327 Hallway,1,2,Webster Hall
Webster 303 Hallway,3,10,Webster Hall
Edmondson 215,2,7,Edmondson Hall
Webster 101 Makai,1,5,Webster Hall
Webster 103,0,0,Webster Hall
Webster Hallway 319E,2,3,Webster Hall
Webster 412 Hallway,2,4,Webster Hall
Webster 314 Hallway,1,2,Webster Hall
Webster 205,0,1,Webster Hall
Edmondson 213A,1,1,Edmondson Hall
Webster 214 Hallway,0,1,Webster Hall
Webster 438 Hallway,1,3,Webster Hall
Webster 432 Hallway,1,7,Webster Hall
Webster 218 Hallway,0,1,Webster Hall
Edmondson 309,2,5,Edmondson Hall
Edmondson 205,4,7,Edmondson Hall
Webster 203 Mauka,0,0,Webster Hall
Webster Hallway 317,1,1,Webster Hall
Webster 442 Hallway,2,3,Webster Hall
Webster 337 Hallway,1,3,Webster Hall
Webster 323 Hallway,0,2,Webster Hall
Edmondson 318,7,13,Edmondson Hall
Edmondson 308,4,9,Edmondson Hall
Webster 301,4,13,Webster Hall
Webster 402,3,4,Webster Hall
Webster 104,0,0,Webster Hall
Webster 201A,1,6,Webster Hall
Webster 204AA,2,4,Webster Hall
Edmondson 4th Fl Lanai,1,6,Edmondson Hall
Webster 113,0,3,Webster Hall
